"AB_category"	"category_description"	"gene"	"gene_description"
"Guanylhydrazones"	""	"qacA"	"Antiseptic resistnce gene qacA; Confers export-mediated resistance against antiseptic and disinfectant compounds such as intercalating dyes, quaternary ammonium salts and diamidines. qacA and qacB are different in sequence similarities by just by 7 nucleotides. "
"Biguanides"	""	"qacR"	"HTH-type transcriptional regulator QacR, Transcriptional repressor of qacA. Binds to IR1, an unusually long 28 bp operator, which is located downstream from the qacA promoter and overlaps its transcription start site. QacR is induced from its IR1 site by binding to one of many structurally dissimilar cationic lipophilic compounds, which are also substrates of QacA."
"Quaternary Ammonium Compounds (QACs)"	""	"qacR"	"HTH-type transcriptional regulator QacR, Transcriptional repressor of qacA. Binds to IR1, an unusually long 28 bp operator, which is located downstream from the qacA promoter and overlaps its transcription start site. QacR is induced from its IR1 site by binding to one of many structurally dissimilar cationic lipophilic compounds, which are also substrates of QacA."
"Diamidine"	""	"qacR"	"HTH-type transcriptional regulator QacR, Transcriptional repressor of qacA. Binds to IR1, an unusually long 28 bp operator, which is located downstream from the qacA promoter and overlaps its transcription start site. QacR is induced from its IR1 site by binding to one of many structurally dissimilar cationic lipophilic compounds, which are also substrates of QacA."
"Mercury (Hg)"	""	"merR"	"Mercuric resistance operon regulatory gene whose product is a unique positively acting activator protein that twists and bends the operator DNA region in the presence of Hg++ allowing RNA polymerse to synthesize mRNA."
"Cobalt (Co)"	""	"corC"	"Magnesium and cobalt efflux protein CorC; Plays a role in the transport of magnesium and cobalt ions"
"Magnesium (Mg)"	""	"corC"	"Magnesium and cobalt efflux protein CorC; Plays a role in the transport of magnesium and cobalt ions"
"Magnesium (Mg)"	""	"corA"	"Mediates both influx and efflux of magnesium ions. Can also mediate cobalt and nickel uptake, albeit only at extracellular concentrations that are toxic to the cell. Does not transport iron."
"Cobalt (Co)"	""	"corA"	"Mediates both influx and efflux of magnesium ions. Can also mediate cobalt and nickel uptake, albeit only at extracellular concentrations that are toxic to the cell. Does not transport iron."
"Nickel (Ni)"	""	"corA"	"Mediates both influx and efflux of magnesium ions. Can also mediate cobalt and nickel uptake, albeit only at extracellular concentrations that are toxic to the cell. Does not transport iron."
"Manganese (Mn)"	""	"corA"	"Mediates both influx and efflux of magnesium ions. Can also mediate cobalt and nickel uptake, albeit only at extracellular concentrations that are toxic to the cell. Does not transport iron."
"Acridine"	""	"pmrA"	"Multi-drug resistance efflux pump PmrA; Efflux pump for various substrates. It is associated with fluoroquinolone resistance in Streptococcus pneumoniae."
"Phenanthridine"	""	"pmrA"	"Multi-drug resistance efflux pump PmrA; Efflux pump for various substrates. It is associated with fluoroquinolone resistance in Streptococcus pneumoniae."
"Manganese (Mn)"	""	"ctpC"	"Probable manganese/zinc-exporting P-type ATPase"
"Zinc (Zn)"	""	"ctpC"	"Probable manganese/zinc-exporting P-type ATPase"
"Iron (Fe)"	""	"furA"	"Transcriptional regulator FurA; Represses transcription of the catalase-peroxidase gene katG and its own transcription by binding to the promoter region in a redox-dependent manner"
"Copper (Cu)"	""	"dnaK"	"Chaperone protein DnaK"
"Iron (Fe)"	""	"ideR"	"Metal-dependent DNA-binding protein that controls transcription of many genes involved in iron metabolism. Acts as a repressor of siderophore biosynthesis and as a Positive modulator of iron storage. Also regulates expression of transporters, proteins involved in siderophore synthesis, iron storage and transcriptional regulators. Has a role in oxidative streee tolerance."
"Peroxides"	""	"ideR"	"Metal-dependent DNA-binding protein that controls transcription of many genes involved in iron metabolism. Acts as a repressor of siderophore biosynthesis and as a Positive modulator of iron storage. Also regulates expression of transporters, proteins involved in siderophore synthesis, iron storage and transcriptional regulators. Has a role in oxidative streee tolerance."
"Naphthoquinone"	""	"ideR"	"Metal-dependent DNA-binding protein that controls transcription of many genes involved in iron metabolism. Acts as a repressor of siderophore biosynthesis and as a Positive modulator of iron storage. Also regulates expression of transporters, proteins involved in siderophore synthesis, iron storage and transcriptional regulators. Has a role in oxidative streee tolerance."
"Cadmium (Cd)"	""	"dsbB"	"Disulfide oxidoreductase; The dsbB gene codes for a transmembrane protein that is responsible for reoxidizing the periplasmic dsbA-encoded disulfide oxidoreductase; Required for disulfide bond formation in some periplasmic proteins such as PhoA or OmpA"
"Mercury (Hg)"	""	"dsbB"	"Disulfide oxidoreductase; The dsbB gene codes for a transmembrane protein that is responsible for reoxidizing the periplasmic dsbA-encoded disulfide oxidoreductase; Required for disulfide bond formation in some periplasmic proteins such as PhoA or OmpA"
"Nickel (Ni)"	""	"nikR"	"Nickel-responsive regulator nikR; Transcriptional repressor of the nikABCDE operon. Is active in the presence of excessive concentrations of intracellular nickel."
"Manganese (Mn)"	""	"mntH/yfeP"	"Divalent metal cation transporter MntH; H+-stimulated, divalent metal cation uptake system. Involved in manganese and iron uptake. Can also transport cadmium, cobalt, zinc and to a lesser extent nickel and copper. Involved in response to reactive oxygen."
"Iron (Fe)"	""	"mntH/yfeP"	"Divalent metal cation transporter MntH; H+-stimulated, divalent metal cation uptake system. Involved in manganese and iron uptake. Can also transport cadmium, cobalt, zinc and to a lesser extent nickel and copper. Involved in response to reactive oxygen."
"Cadmium (Cd)"	""	"mntH/yfeP"	"Divalent metal cation transporter MntH; H+-stimulated, divalent metal cation uptake system. Involved in manganese and iron uptake. Can also transport cadmium, cobalt, zinc and to a lesser extent nickel and copper. Involved in response to reactive oxygen."
"Cobalt (Co)"	""	"mntH/yfeP"	"Divalent metal cation transporter MntH; H+-stimulated, divalent metal cation uptake system. Involved in manganese and iron uptake. Can also transport cadmium, cobalt, zinc and to a lesser extent nickel and copper. Involved in response to reactive oxygen."
"Zinc (Zn)"	""	"mntH/yfeP"	"Divalent metal cation transporter MntH; H+-stimulated, divalent metal cation uptake system. Involved in manganese and iron uptake. Can also transport cadmium, cobalt, zinc and to a lesser extent nickel and copper. Involved in response to reactive oxygen."
"Zinc (Zn)"	""	"zupT/ygiE"	"Zinc transporter ZupT; Mediates zinc uptake. May also transport other divalent cations such as copper and cadmium ions."
"Iron (Fe)"	""	"zupT/ygiE"	"Zinc transporter ZupT; Mediates zinc uptake. May also transport other divalent cations such as copper and cadmium ions."
"Cobalt (Co)"	""	"zupT/ygiE"	"Zinc transporter ZupT; Mediates zinc uptake. May also transport other divalent cations such as copper and cadmium ions."
"Nickel (Ni)"	""	"zupT/ygiE"	"Zinc transporter ZupT; Mediates zinc uptake. May also transport other divalent cations such as copper and cadmium ions."
"Copper (Cu)"	""	"zupT/ygiE"	"Zinc transporter ZupT; Mediates zinc uptake. May also transport other divalent cations such as copper and cadmium ions."
"Cadmium (Cd)"	""	"zupT/ygiE"	"Zinc transporter ZupT; Mediates zinc uptake. May also transport other divalent cations such as copper and cadmium ions."
"Zinc (Zn)"	""	"soxS"	"Regulatory protein SoxS; Increases the Zn uptake system znuACB; Transcriptional activator of the superoxide response regulon of E.coli that includes at least 10 genes such as sodA, nfo, zwf and micF. Binds the DNA sequence 5'-GCACN7CAA-3'. It also facilitates the subsequent binding of RNA polymerase to the micF and the nfo promoters."
"Cycloalkane"	""	"soxS"	"Regulatory protein SoxS; Increases the Zn uptake system znuACB; Transcriptional activator of the superoxide response regulon of E.coli that includes at least 10 genes such as sodA, nfo, zwf and micF. Binds the DNA sequence 5'-GCACN7CAA-3'. It also facilitates the subsequent binding of RNA polymerase to the micF and the nfo promoters."
"Manganese (Mn)"	""	"mntR"	"Manganese transport regulator mntR; In the presence of manganese, represses expression of mntH and mntS. Up-regulates expression of mntP"
"Magnesium (Mg)"	""	"mntR"	"Manganese transport regulator mntR; In the presence of manganese, represses expression of mntH and mntS. Up-regulates expression of mntP"
"Copper (Cu)"	""	"cueR/ybbI"	"Regulates the transcription of the copA and cueO genes. It detects cytoplasmic copper stress and activates transcription in response to increasing copper concentrations. CueR is a direct regulator of copZA transcription that mediates copper induction"
"Tungsten (W)"	""	"modE"	"Transcriptional regulator ModE. The ModE-Mo complex acts as a repressor of the modABC operon, involved in the transport of molybdate. It controls tungstate and molybdate homeostasis in bacteria."
"Molybdenum (Mo)"	""	"modE"	"Transcriptional regulator ModE. The ModE-Mo complex acts as a repressor of the modABC operon, involved in the transport of molybdate. It controls tungstate and molybdate homeostasis in bacteria."
"Zinc (Zn)"	""	"znuC/yebM"	"Zinc import ATP-binding protein ZnuC; part of the ABC transporter complex ZnuABC involved in zinc import. Responsible for energy coupling to the transport system. Transcriptionally repressed by zur (zinc uptake regulator), in response to high extracellular zinc concentrations"
"Arsenic (As)"	""	"pstB"	"Phosphate transporting ATPase; Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system."
"Copper (Cu)"	""	"bhsA/ycfR/comC"	"Seems to be involved in the regulation of biofilm formation. May decrease biofilm formation by repressing cell-cell interaction and cell surface interaction"
"Cadmium (Cd)"	""	"ychH"	"Stress protein YchH; response to Hydrogen Peroxide (H2O2), cadmium; plays a role in biofilm formation as well"
"Peroxides"	""	"ychH"	"Stress protein YchH; response to Hydrogen Peroxide (H2O2), cadmium; plays a role in biofilm formation as well"
"Cobalt (Co)"	""	"mgtA"	"Magnesium-transporting ATPase, P-type 1; Mediates magnesium influx to the cytosol."
"Magnesium (Mg)"	""	"mgtA"	"Magnesium-transporting ATPase, P-type 1; Mediates magnesium influx to the cytosol."
"Magnesium (Mg)"	""	"corA"	"Mediates influx of magnesium ions. Can also mediate cobalt and manganese uptake, albeit only at extracellular concentrations that are toxic to the cell. Does not transport iron."
"Cobalt (Co)"	""	"corA"	"Mediates influx of magnesium ions. Can also mediate cobalt and manganese uptake, albeit only at extracellular concentrations that are toxic to the cell. Does not transport iron."
"Nickel (Ni)"	""	"corA"	"Mediates influx of magnesium ions. Can also mediate cobalt and manganese uptake, albeit only at extracellular concentrations that are toxic to the cell. Does not transport iron."
"Manganese (Mn)"	""	"corA"	"Mediates influx of magnesium ions. Can also mediate cobalt and manganese uptake, albeit only at extracellular concentrations that are toxic to the cell. Does not transport iron."
"Zinc (Zn)"	""	"zur/yjbK"	"Zinc uptake regulation protein zur; Acts as a negative controlling element, employing Zn2+ as a cofactor to bind the operator of the repressed genes (znuACB). Zinc uptake regulation protein."
"Cycloalkane"	""	"marA"	"A transcriptional activator (MarA) of genes involved in the multiple antibiotic resistance (Mar) phenotype. It can also activate genes such as sodA, zwf and micF. Organic solvent tolerance and antibiotic resistance increased by overexpression of marA in Escherichia coli. High copy number of MarA and MarR also increases the tolerance level of bacteria to organic solvents."
"Phenyl"	""	"marA"	"A transcriptional activator (MarA) of genes involved in the multiple antibiotic resistance (Mar) phenotype. It can also activate genes such as sodA, zwf and micF. Organic solvent tolerance and antibiotic resistance increased by overexpression of marA in Escherichia coli. High copy number of MarA and MarR also increases the tolerance level of bacteria to organic solvents."
"Alkane"	""	"marA"	"A transcriptional activator (MarA) of genes involved in the multiple antibiotic resistance (Mar) phenotype. It can also activate genes such as sodA, zwf and micF. Organic solvent tolerance and antibiotic resistance increased by overexpression of marA in Escherichia coli. High copy number of MarA and MarR also increases the tolerance level of bacteria to organic solvents."
"Silver (Ag)"	""	"robA"	"Right origin-binding protein RobA; Organic solvent tolerance by robA is dependent on soxRS; Rob acts as a transcriptional activator. It can confer resistance to antibiotics such as tetracycline, chloramphenicol, phosphomycin, kanamycin, novomycin etc."
"Mercury (Hg)"	""	"robA"	"Right origin-binding protein RobA; Organic solvent tolerance by robA is dependent on soxRS; Rob acts as a transcriptional activator. It can confer resistance to antibiotics such as tetracycline, chloramphenicol, phosphomycin, kanamycin, novomycin etc."
"Cadmium (Cd)"	""	"robA"	"Right origin-binding protein RobA; Organic solvent tolerance by robA is dependent on soxRS; Rob acts as a transcriptional activator. It can confer resistance to antibiotics such as tetracycline, chloramphenicol, phosphomycin, kanamycin, novomycin etc."
"Cycloalkane"	""	"robA"	"Right origin-binding protein RobA; Organic solvent tolerance by robA is dependent on soxRS; Rob acts as a transcriptional activator. It can confer resistance to antibiotics such as tetracycline, chloramphenicol, phosphomycin, kanamycin, novomycin etc."
"Alkane"	""	"robA"	"Right origin-binding protein RobA; Organic solvent tolerance by robA is dependent on soxRS; Rob acts as a transcriptional activator. It can confer resistance to antibiotics such as tetracycline, chloramphenicol, phosphomycin, kanamycin, novomycin etc."
"Phenyl"	""	"robA"	"Right origin-binding protein RobA; Organic solvent tolerance by robA is dependent on soxRS; Rob acts as a transcriptional activator. It can confer resistance to antibiotics such as tetracycline, chloramphenicol, phosphomycin, kanamycin, novomycin etc."
"Hydrazone"	""	"emrR"	"Negative regulator of the multidrug operon emrAB."
"Paraquat"	""	"soxR"	"Redox-sensitive transcriptional activator SoxR; Activates the transcription of the soxS gene which itself controls the superoxide response regulon. SoxR contains a 2Fe-2S iron-sulfur cluster that may act as a redox sensor system that recognizes superoxide. The variable redox state of the Fe-S cluster is employed in vivo to modulate the transcriptional activity of SoxR in response to specific types of oxidative stress. Upon reduction of 2Fe-2S cluster, SoxR reversibly loses its transcriptional activity, but retains its DNA binding affinity."
"Zinc (Zn)"	""	"zntR/yhdM"	"Zinc-responsive transcriptional regulator zntR; regulates the zntA"
"Acridine"	""	"acrR/ybaH"	"HTH-type potential regulator protein for the acrAB genes."
"Acid"	""	"evgA"	"Member of the two-component regulatory system EvgS/EvgA. Regulates the expression of emrKY operon and yfdX. Seems also to control expression of at least one other multidrug efflux operon."
"Copper (Cu)"	""	"cusR/ylcA"	"Member of the two-component regulatory system CusS/CusR. Activates the Expression of cusCFBA and plasmid pRJ1004 gene pcoE in response to increasing levels of copper ions, and probably silver ions. Can also increase the basal-level Expression of copper resistance gene operon pcoABCD; located in cytoplasm"
"Silver (Ag)"	""	"cusR/ylcA"	"Member of the two-component regulatory system CusS/CusR. Activates the Expression of cusCFBA and plasmid pRJ1004 gene pcoE in response to increasing levels of copper ions, and probably silver ions. Can also increase the basal-level Expression of copper resistance gene operon pcoABCD; located in cytoplasm"
"Cadmium (Cd)"	""	"ygiW"	"Protein YgiW; located in periplasm; responsible for tributyltin (TBT) resistance; response to hydrogen peroxide (H2O2), cadmium ions ; has a role in biofim formation"
"Organo-tin"	""	"ygiW"	"Protein YgiW; located in periplasm; responsible for tributyltin (TBT) resistance; response to hydrogen peroxide (H2O2), cadmium ions ; has a role in biofim formation"
"Peroxides"	""	"ygiW"	"Protein YgiW; located in periplasm; responsible for tributyltin (TBT) resistance; response to hydrogen peroxide (H2O2), cadmium ions ; has a role in biofim formation"
"Acridine"	""	"acrA"	"AcrAB is a drug efflux protein with a broad substrate specificity. It can confer resistant to ampicillin, chloramphenicol as well.  It requires TolC outer memberane protein to function and form the AcrAB-TolC efflux operon. AcrAB-TolC is a drug efflux protein complex with broad substrate specificity that uses the proton motive force to export substrates."
"Phenolic compounds"	""	"acrA"	"AcrAB is a drug efflux protein with a broad substrate specificity. It can confer resistant to ampicillin, chloramphenicol as well.  It requires TolC outer memberane protein to function and form the AcrAB-TolC efflux operon. AcrAB-TolC is a drug efflux protein complex with broad substrate specificity that uses the proton motive force to export substrates."
"Aromatic hydrocarbons"	""	"acrA"	"AcrAB is a drug efflux protein with a broad substrate specificity. It can confer resistant to ampicillin, chloramphenicol as well.  It requires TolC outer memberane protein to function and form the AcrAB-TolC efflux operon. AcrAB-TolC is a drug efflux protein complex with broad substrate specificity that uses the proton motive force to export substrates."
"Cycloalkane"	""	"acrA"	"AcrAB is a drug efflux protein with a broad substrate specificity. It can confer resistant to ampicillin, chloramphenicol as well.  It requires TolC outer memberane protein to function and form the AcrAB-TolC efflux operon. AcrAB-TolC is a drug efflux protein complex with broad substrate specificity that uses the proton motive force to export substrates."
"Alkane"	""	"acrA"	"AcrAB is a drug efflux protein with a broad substrate specificity. It can confer resistant to ampicillin, chloramphenicol as well.  It requires TolC outer memberane protein to function and form the AcrAB-TolC efflux operon. AcrAB-TolC is a drug efflux protein complex with broad substrate specificity that uses the proton motive force to export substrates."
"Cadmium (Cd)"	""	"dsbA"	"Disulfide oxidoreductase; Required for disulfide bond formation in some periplasmic proteins such as PhoA or OmpA. Acts by transferring its disulfide bond to other proteins and is reduced in the process. DsbA is reoxidized by DsbB. It is required for pilus biogenesis"
"Zinc (Zn)"	""	"dsbA"	"Disulfide oxidoreductase; Required for disulfide bond formation in some periplasmic proteins such as PhoA or OmpA. Acts by transferring its disulfide bond to other proteins and is reduced in the process. DsbA is reoxidized by DsbB. It is required for pilus biogenesis"
"Mercury (Hg)"	""	"dsbA"	"Disulfide oxidoreductase; Required for disulfide bond formation in some periplasmic proteins such as PhoA or OmpA. Acts by transferring its disulfide bond to other proteins and is reduced in the process. DsbA is reoxidized by DsbB. It is required for pilus biogenesis"
"Copper (Cu)"	""	"dsbC"	"Disulfide isomerase; DsbC rearranges incorrect disulfide bonds formed by dsbA during oxidative protein folding under non-stress conditions. DsbC, a periplasmic thiol-disulfide oxidoreductase, appears to function as a disulfide isomerase both in vitro and in vivo. In vitro, DsbC has been shown to rearrange non-native disulfides in well studied isomerization substrates such as BPTI and RNase A. In vivo, DsbC is required for full activity of a handful of proteins containing at least one non-consecutive disulfide bond."
"Organo-mercury"	""	"emrB"	"Multidrug resistance protein B, Located in cell inner membrane, Translocase that confers resistance to substances of high hydrophobicity"
"Hydrazine"	""	"emrB"	"Multidrug resistance protein B, Located in cell inner membrane, Translocase that confers resistance to substances of high hydrophobicity"
"Hydrazone"	""	"emrB"	"Multidrug resistance protein B, Located in cell inner membrane, Translocase that confers resistance to substances of high hydrophobicity"
"Phenolic compounds"	""	"fabI"	"Enoyl-[acyl-carrier-protein] reductase [NADH] FabI; Catalyzes the reduction of a carbon-carbon double bond in an enoyl moiety that is covalently linked to an acyl carrier protein (ACP). Involved in the elongation cycle of fatty acid which are used in the lipid metabolism and in the biotin biosynthesis; enoyl-ACP reductase is the FabI protein of Escherichia coli that is the target of the antibacterial compound, triclosan; some Gram-positive bacteria are naturally resistant to triclosan due to the presence of the triclosan-resistant enoyl-ACP reductase isoforms, FabK, FabV and FabL."
"Antimony (Sb)"	""	"glpF"	"Glycerol uptake facilitator protein GlpF; Transporter of glycerol across the cytoplasmic membrane, with limited permeability to water and small uncharged compounds such as polyols"
"Arsenic (As)"	""	"glpF"	"Glycerol uptake facilitator protein GlpF; Transporter of glycerol across the cytoplasmic membrane, with limited permeability to water and small uncharged compounds such as polyols"
"Alcohol"	""	"glpF"	"Glycerol uptake facilitator protein GlpF; Transporter of glycerol across the cytoplasmic membrane, with limited permeability to water and small uncharged compounds such as polyols"
"Acid"	""	"hdeA/yhiB"	"Acid stress chaperone HdeA; Required for optimal acid stress protection. Exhibits a chaperone-like activity only at pH below 3 by suppressing non-specifically the aggregation of denaturated periplasmic proteins. Important for survival of enteric bacteria in the acidic environment of the host stomach. Also promotes the solubilization at neutral pH of proteins that had aggregated in their presence at acidic pHs. May cooperate with other periplasmic chaperones such as DegP and SurA"
"Acid"	""	"hdeB/yhiC"	"Acid stress chaperone HdeB; Required for optimal acid stress protection, which is important for survival of enteric bacteria in the acidic environment of the host stomach. Exhibits a chaperone-like activity at acidic pH by preventing the aggregation of many different periplasmic proteins."
"Quaternary Ammonium Compounds (QACs)"	""	"mdfA/cmr"	"Multidrug transporter MdfA, Efflux pump driven by the proton motive force. Confers resistance to a broad spectrum of chemically unrelated drugs. Confers resistance to a diverse group of cationic or zwitterionic lipophilic compounds such as ethidium bromide, tetraphenylphosphonium, rhodamine, daunomycin, benzylkonium, rifampicin, tetracycline, puromycin, and to chemically unrelated, clinically important antibiotics such as chloramphenicol, erythromycin, and certain aminoglycosides and fluoroquinolones. OverExpression results in isopropyl-beta-D-thiogalactopyranoside (IPTG) exclusion and spectinomycin sensitivity. Transport of neutral substrates is electrogenic, whereas transport of cationic substrates is electroneutral. In addition to its role in multidrug resistance, confers extreme alkaline pH resistance, allowing the growth under conditions that are close to those used normally by alkaliphiles. This activity requires Na+ or K+; also known as Chloramphenicol resistance pump Cmr"
"Phenanthridine"	""	"mdfA/cmr"	"Multidrug transporter MdfA, Efflux pump driven by the proton motive force. Confers resistance to a broad spectrum of chemically unrelated drugs. Confers resistance to a diverse group of cationic or zwitterionic lipophilic compounds such as ethidium bromide, tetraphenylphosphonium, rhodamine, daunomycin, benzylkonium, rifampicin, tetracycline, puromycin, and to chemically unrelated, clinically important antibiotics such as chloramphenicol, erythromycin, and certain aminoglycosides and fluoroquinolones. OverExpression results in isopropyl-beta-D-thiogalactopyranoside (IPTG) exclusion and spectinomycin sensitivity. Transport of neutral substrates is electrogenic, whereas transport of cationic substrates is electroneutral. In addition to its role in multidrug resistance, confers extreme alkaline pH resistance, allowing the growth under conditions that are close to those used normally by alkaliphiles. This activity requires Na+ or K+; also known as Chloramphenicol resistance pump Cmr"
"Acridine"	""	"mdfA/cmr"	"Multidrug transporter MdfA, Efflux pump driven by the proton motive force. Confers resistance to a broad spectrum of chemically unrelated drugs. Confers resistance to a diverse group of cationic or zwitterionic lipophilic compounds such as ethidium bromide, tetraphenylphosphonium, rhodamine, daunomycin, benzylkonium, rifampicin, tetracycline, puromycin, and to chemically unrelated, clinically important antibiotics such as chloramphenicol, erythromycin, and certain aminoglycosides and fluoroquinolones. OverExpression results in isopropyl-beta-D-thiogalactopyranoside (IPTG) exclusion and spectinomycin sensitivity. Transport of neutral substrates is electrogenic, whereas transport of cationic substrates is electroneutral. In addition to its role in multidrug resistance, confers extreme alkaline pH resistance, allowing the growth under conditions that are close to those used normally by alkaliphiles. This activity requires Na+ or K+; also known as Chloramphenicol resistance pump Cmr"
"Base"	""	"mdfA/cmr"	"Multidrug transporter MdfA, Efflux pump driven by the proton motive force. Confers resistance to a broad spectrum of chemically unrelated drugs. Confers resistance to a diverse group of cationic or zwitterionic lipophilic compounds such as ethidium bromide, tetraphenylphosphonium, rhodamine, daunomycin, benzylkonium, rifampicin, tetracycline, puromycin, and to chemically unrelated, clinically important antibiotics such as chloramphenicol, erythromycin, and certain aminoglycosides and fluoroquinolones. OverExpression results in isopropyl-beta-D-thiogalactopyranoside (IPTG) exclusion and spectinomycin sensitivity. Transport of neutral substrates is electrogenic, whereas transport of cationic substrates is electroneutral. In addition to its role in multidrug resistance, confers extreme alkaline pH resistance, allowing the growth under conditions that are close to those used normally by alkaliphiles. This activity requires Na+ or K+; also known as Chloramphenicol resistance pump Cmr"
"Xanthene"	""	"mdfA/cmr"	"Multidrug transporter MdfA, Efflux pump driven by the proton motive force. Confers resistance to a broad spectrum of chemically unrelated drugs. Confers resistance to a diverse group of cationic or zwitterionic lipophilic compounds such as ethidium bromide, tetraphenylphosphonium, rhodamine, daunomycin, benzylkonium, rifampicin, tetracycline, puromycin, and to chemically unrelated, clinically important antibiotics such as chloramphenicol, erythromycin, and certain aminoglycosides and fluoroquinolones. OverExpression results in isopropyl-beta-D-thiogalactopyranoside (IPTG) exclusion and spectinomycin sensitivity. Transport of neutral substrates is electrogenic, whereas transport of cationic substrates is electroneutral. In addition to its role in multidrug resistance, confers extreme alkaline pH resistance, allowing the growth under conditions that are close to those used normally by alkaliphiles. This activity requires Na+ or K+; also known as Chloramphenicol resistance pump Cmr"
"Tungsten (W)"	""	"modB"	"Molybdenum transport system permease protein ModB. Part of the binding-protein-dependent transport system for molybdenum; probably responsible for the translocation of the substrate across the membrane."
"Molybdenum (Mo)"	""	"modB"	"Molybdenum transport system permease protein ModB. Part of the binding-protein-dependent transport system for molybdenum; probably responsible for the translocation of the substrate across the membrane."
"Nickel (Ni)"	""	"nikC"	"Nickel transport system permease protein NikC; Transmembrane protein; Involved in a nickel transport system, probably translocates nickel through the bacterial inner membrane. Part of the Nik operon (NikABCDE)"
"Zinc (Zn)"	""	"pitA"	"Low-affinity inorganic phosphate transporter 1, PitA; Can also transport arsenate"
"Tellurium (Te)"	""	"pitA"	"Low-affinity inorganic phosphate transporter 1, PitA; Can also transport arsenate"
"Arsenic (As)"	""	"pstS"	"A periplasmic phosphate binding protein; Part of the ABC transporter complex PstSACB involved in phosphate import."
"Quaternary Ammonium Compounds (QACs)"	""	"qacE"	"Quaternary ammonium compound-resistance protein qacE, Multidrug exporter. It is implicated for the resistance to bacteriocidal quaternary ammonium compounds."
"Phenanthridine"	""	"qacE"	"Quaternary ammonium compound-resistance protein qacE, Multidrug exporter. It is implicated for the resistance to bacteriocidal quaternary ammonium compounds."
"Xanthene"	""	"qacE"	"Quaternary ammonium compound-resistance protein qacE, Multidrug exporter. It is implicated for the resistance to bacteriocidal quaternary ammonium compounds."
"Triarylmethane"	""	"qacE"	"Quaternary ammonium compound-resistance protein qacE, Multidrug exporter. It is implicated for the resistance to bacteriocidal quaternary ammonium compounds."
"Selenium (Se)"	""	"sodB"	"Fe-dependent superoxide dismutase. Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems."
"Peroxides"	""	"sodB"	"Fe-dependent superoxide dismutase. Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems."
"Chromium (Cr)"	""	"yieF"	"A chromate reductase. Reduces chromate (Cr(VI)) to Cr(III) "
"Vanadium (V)"	""	"yieF"	"A chromate reductase. Reduces chromate (Cr(VI)) to Cr(III) "
"Molybdenum (Mo)"	""	"yieF"	"A chromate reductase. Reduces chromate (Cr(VI)) to Cr(III) "
"Thiazinium"	""	"yieF"	"A chromate reductase. Reduces chromate (Cr(VI)) to Cr(III) "
"Arsenic (As)"	""	"pstC"	"An integral membrane permease protein; Part of the binding-protein-dependent transport system for phosphate; probably responsible for the translocation of the substrate across the membrane."
"Peroxides"	""	"ibpA"	"Small heat shock protein IbpA; Associates with aggregated proteins, together with IbpB, to stabilize and protect them from irreversible denaturation and extensive proteolysis during heat shock and oxidative stress; Its activity is ATP-independent"
"Peroxides"	""	"ibpB"	"Small heat shock protein IbpA; Associates with aggregated proteins, together with IbpA, to stabilize and protect them from irreversible denaturation and extensive proteolysis during heat shock and oxidative stress. Its activity is ATP-independent."
"Aromatic hydrocarbons"	""	"mepB"	"Multidrug/solvent efflux pump membrane transporter MepB; the inner membrane transporter component of an organic solvent and antibiotic efflux pump; confers resistance to toluene, hexane, p-xylene, ampicillin, penicillin G, erythromycin, novobiocin and tetracycline."
"Alkane"	""	"mepB"	"Multidrug/solvent efflux pump membrane transporter MepB; the inner membrane transporter component of an organic solvent and antibiotic efflux pump; confers resistance to toluene, hexane, p-xylene, ampicillin, penicillin G, erythromycin, novobiocin and tetracycline."
"Aromatic hydrocarbons [class: Aromatic hydrocarbons]"	""	"mepC"	"Multidrug/solvent efflux pump outer membrane protein MepC; the outer membrane component of an organic solvent and antibiotic efflux pump; confers resistance to toluene, hexane, p-xylene, ampicillin, penicillin G, erythromycin, novobiocin and tetracycline."
"Alkane"	""	"mepC"	"Multidrug/solvent efflux pump outer membrane protein MepC; the outer membrane component of an organic solvent and antibiotic efflux pump; confers resistance to toluene, hexane, p-xylene, ampicillin, penicillin G, erythromycin, novobiocin and tetracycline."
"Iron (Fe)"	""	"dpr/dps"	"DNA protection during starvation protein; Protects DNA from oxidative damage by sequestering intracellular Fe2+ ion and storing it in the form of Fe3+ oxyhydroxide mineral. One hydrogen peroxide oxidizes two Fe2+ ions, which prevents hydroxyl radical production by the Fenton reaction. It binds and incorporates Fe2+ iron. Is responsible for hydrogen peroxide resistance. Does not bind DNA."
"Peroxides"	""	"dpr/dps"	"DNA protection during starvation protein; Protects DNA from oxidative damage by sequestering intracellular Fe2+ ion and storing it in the form of Fe3+ oxyhydroxide mineral. One hydrogen peroxide oxidizes two Fe2+ ions, which prevents hydroxyl radical production by the Fenton reaction. It binds and incorporates Fe2+ iron. Is responsible for hydrogen peroxide resistance. Does not bind DNA."
